Age,Sex,Height_cm,Weight_kg,Wrist_cm,Waist_cm,Hip_cm,Neck_cm,UpperArm_cm,Thigh_cm,Calf_cm,Forearm_cm,Chest_cm,Shoulder_cm,Ankle_cm,Bicep_cm,BodyFatPct,MuscleMass_kg
19,F,166,103,16,105.7,134,39,25,70,42,26,96.8,41.0,21.3,31,53,44.2
36,M,168.3,755.0,18,110.0,,38,29.3,65.0,35.0,28.5,115,47.9,23,31,20,30.0
24,M,173.8,85,19.1,,89,40,35.2,59,,26,118,45.3,25.4,43,21.6,43.4
62,male,180.0,125,20.0,130,43.1,41,,54,39,31.3,45.7,44.9,28,39.8,38,49.8
74,FEMALE,153,56,13.9,85.0,105.0,34,23.6,57.1,36,23,116.6,40,25,20.0,40,
59,Female,170.2,45.0,14,73,91,30,20.0,55.8,40.0,27.8,86.3,40,20,23,30.0,19.7
69,f,168,98.3,18,182.0,112,41,38,64,44,29,90.0,35.0,,30.3,46,45.2
42,male,170.0,63.6,18,119,116.3,37,41,54,37.1,29.4,86.6,46,25,36,19.4,26.8
74,Male,156,58,,100.0,101.2,36,33,60,41,25.3,70.0,43.2,23,36,24,18.5
20,FEMALE,167.6,83,15.0,75,77,36,33.8,71,40,9.4,96,43,,37,55.0,
21,f,166,35,15,56,91,82.0,23.2,56,40.0,22.0,68,41,20.0,29.3,18,15.4
50,F,164,78,15,97,100,30.1,30.7,65.4,49,27,92.5,36,22.8,42.1,34,27.4
58,Male,189.2,80,18,108,125,44,34,48,31,29,95,40.0,21,38,37,26.5
21,MALE,173,84,19,98,111,38.9,31.1,67,36,29,94.1,51.1,25.0,40.0,16.9,36.0
24,Male,174,78,18,77,95,41.0,30.0,52.3,34,30,,47,26.0,34,38,37.0
22,female,164,49.4,14,75,109,27,25,60,35,25.0,98,44,22,31,31,22.9
74,Female,152,70.0,15,115,115.0,34,30.0,56,43.0,24,103,38,22.0,46.4,44,31.7
58,F,160,97,16,,130.0,36.1,37.4,72,44.1,28,107.4,39.4,23.1,63.0,39.7,
45,FEMALE,164,90.0,16,95,136,36.8,40.0,,38.0,25,99.6,31,,30.0,400.0,38.1
68,MALE,181,777.0,17.3,116,96.8,36,28,69,45.0,,110,41,21.8,30,35.0,26.7
26,Male,185,115.0,19,98.2,112.3,37,38,56,42,33,130,41,27,45.0,38,42.6
55,MALE,181,118.2,18.4,,110.0,43,45,70.9,37.7,29.1,96,42.8,24,41.6,37,
22,f,164,76,17,125,103,11.8,29,66,35,27.0,103,42.0,23.1,33,14.0,34.8
65,Male,171.1,87,18,106,100,45,25.0,70.0,39.9,30.0,88,47,25.0,38.7,17.6,35.5
38,MALE,179,90,20.0,109,94,40,34.5,64,40.0,13.0,,42,25,40.0,31,
61,female,165,54,15,94,92,30.0,,53.2,37,25.0,103.4,41.6,19,24.3,19,23.3
20,male,172.0,135,18,133,114.5,433.0,35.0,66,43,30.1,120,40,23,39.0,49,40.7
31,m,178,100.0,15.9,118,115.0,39.7,42.6,57.6,44.4,28,93,48.3,26,39,33,44.5
39,MALE,188.7,126,17,111.9,85.3,41,33,66,35.8,26.3,,50.8,22.0,41,36,49.5
53,M,165.0,91.6,18,87,125.3,36,33,65,,29,109.0,45,26,31.6,36,41.5
73,F,153,77.9,16.8,108,85,32,37,53,40,25.0,110.0,35.0,22,39,,41.5
40,FEMALE,162,100,15,,124.4,36.4,45.0,59,44.3,25.0,107.6,38.7,23,36,57.9,48.8
64,female,169.4,78,15.0,107,137,34.1,41.0,61.9,37,25.0,104,40,25.0,26,28,39.6
36,f,154,60.9,20.0,120.7,90.0,32,39.4,72.1,39.0,,79,41,7.7,30,36,27.1
60,FEMALE,148,60.0,15.1,131.0,143,29,37,62,36,24,68,39,25.0,27.8,35,
38,Male,175.0,71,18,97,95.0,40,31.3,37.5,40.0,29,88.7,48,21.6,33.5,24,27.0
39,Male,174,110.0,17.4,104,122.6,45.0,40.0,70,40,33.5,110,44.5,26,35.0,43,40.6
55,Male,177.0,116.4,18,95.7,,45.0,,64.5,44,30.6,125,45,25.0,40.0,42.0,67.9
65,m,167,116.7,20.0,133,124.3,40.0,40.0,75,47.1,30,112,42,27,48.0,41.3,56.4
21,f,169,69,15,64.6,112,37,36,53,38.2,20,105.0,41,21.3,33,25.0,28.4
50,Female,151,46,15,75,95.5,35,43,56.1,37,25.0,97.7,39,25.0,25.7,37,
43,Female,155,81.7,15,120.0,117,40.0,45,62.7,37.3,29.8,91,40.5,24,33,40.0,34.9
26,m,190,911.0,17,86,120.8,36.1,32,50,35.6,34,122,40.0,26,25,19,42.8
69,female,155.0,100.9,17,100,126,36,42,65.0,40.0,25,92,42,22,37.3,54,49.5
39,female,161,119,16,,166,38.2,45.8,75.0,36.0,27.6,113,40.0,23.1,40.0,55,45.4
74,Female,153,70.0,15.0,115.0,124,35,35,49,35.0,29.0,87,42,20,32.5,50.0,34.1
24,F,168,95.0,15,109,116.3,36,40,71,40,28,113,26,23.5,30,45,41.1
21,Male,190.6,123,18,129.5,169,40.0,38,63,41,28,109,45,23.7,41,34.1,54.6
50,Male,1550.0,,14.5,98.6,119.9,37,21.3,50,36.4,26.8,121,45.1,21,33,24.3,16.3
21,m,169,95.0,19.1,,98,40.0,,62,35.6,30.0,120.3,39.2,24.0,40.0,34,31.9
44,f,152,97,18,115,115.3,35.4,40,46,36,25.0,103,37,21.0,32.5,40.0,34.6
35,male,180.0,128,18,,109.8,41,42,58.6,45.0,32,,45.7,29.9,38,37.2,66.6
62,Female,163,71.8,17,80,94,31.2,,68,38,23.9,109,38,22,33,35.0,27.3
65,Male,178,94,17,35.4,100.0,35.4,35.0,63,35,,119,49,9.8,35.0,32,44.4
65,F,158.2,103,16.2,110,135.0,39.7,41,56,42,25,108.3,42,2.0,35.0,35,35.4
61,female,154,77.7,16,157,128.3,35,34.9,60.0,35.0,26,101.1,40,20.0,32.9,40.0,27.7
28,Female,160.0,61,16,100,87,29,23,55,38,23,87,40.7,21,30.0,30,31.4
44,female,154,35.0,5.1,59,104,30.0,,44.6,38,23,91,45,20.0,25,25.0,16.0
49,female,170,85,15,106.1,137,34.2,29,84,39,25.0,97.2,41.6,23.8,32.3,30,34.2
70,FEMALE,161,47,15.3,98,87,35.9,30.0,,35,24.7,73.9,,21,25,40.0,14.5
33,M,173,75.3,20,84,112.8,35.0,33,62,38,28.2,133.1,46,22,41,22.9,36.9
33,Female,164,70.0,15.0,81.1,100.0,33.8,,50.0,37,30.0,107.8,40,22.1,30.0,38,26.5
57,F,159,82.6,16,140,112,41.8,47,67.3,41.9,24.7,110,38.2,20,27.6,35.0,29.5
51,f,168.4,85,16,108,134,33,30,60,35.0,26,105.1,37,20.0,31,45.0,33.0
28,male,173.3,86,18,82,105,40.0,29,48,45,26,90.0,48,24,40,22.7,26.5
41,FEMALE,165.0,83.8,,96,109,31,24.2,46,35.0,26,118.6,35.2,19,35,45,22.6
67,MALE,180,131,17.7,119,133,46,40.7,75.7,34.2,35,109,48.7,,40,53.7,52.4
34,m,170,102.0,20.0,95.4,140.8,500.0,37.2,58.6,40.0,35.0,113,45.0,22.9,34.1,43,43.4
51,Male,162,90,19.6,113.5,110.8,40.0,38,55.0,34.0,29,84.4,37.9,7.9,33,30.0,43.1
49.2,Male,162,90,19.6,113.5,110.8,40.0,38,55.0,34.0,29,84.4,38.5,7.9,33,30.0,44.0
71,Female,158,55.8,15.4,117,83,32,34,65.4,37,23.8,101.0,39.4,21.0,32,34,
35,Male,181.5,89,20.0,82,111,42.6,26,45.0,,27,1044.0,45.0,25,32.7,25.0,43.6
47,Male,184,88.1,16.9,100.0,98,34.9,33,522.0,16.7,27,95,38,21,44.5,52.0,32.3
45,Male,173.0,115,20,150,101.3,46,30.0,70,42,34,121,42,29,35.0,37,
42,female,161.7,88,16,121.0,98.8,35.0,,65,35.1,27.7,95.4,42,23,34,49,33.6
74,f,168,75.5,14,88,80.3,38,36,70.0,35,25,85,35.0,21.1,40.0,36,35.6
25,F,174,87.6,,,106,35.0,32,59,36,25.0,103,40.2,21,30,44,
70,female,194.0,73.1,16,108,131,36.5,,65,39,25,105,41.6,22,35.4,40,30.8
53,m,180.0,112,17.0,113,116.0,40.9,44,74,44,26.9,117,41,24.9,43,38.1,50.3
73,male,156,92,19,142,114.8,45.0,42,71.7,50,31,100.0,,25.0,42.5,21.9,39.5
40,MALE,172,100,20,135.0,107,45.0,,61,47.4,33,109,38.1,24.0,34.1,36.4,
37,female,159,93,,90.0,141.2,36.0,37,64.2,39,20.0,90.0,37,22,35,47,43.0
37,female,159,93,,89.6,141.2,36.0,35.1,64.2,39,20.3,90.0,37,22,35,47,43.0
62,male,172,70.0,18.4,93,112,,32.4,58.6,37.4,25.0,87,46,20.0,30,43,30.9
63,Male,167,120.0,20,122,139.7,42.1,39,67,40,33,142.4,48,25,42,38,54.9
74,FEMALE,155.0,69,15,,114,31.0,32,65.5,43,20.8,127,38,20,31,41.9,
27,F,163.4,86,16,93.7,129,36.5,40.0,65.0,38,26,100,39.4,20,24,40,41.9
38,Male,179.1,116.2,20,125.0,115,45.7,44,63,36.6,30.3,120,18.9,25,30.2,41,48.8
46,Male,178.5,120.4,19,111.3,100.0,36,45.0,68,47,28.5,108,46.6,21.3,322.0,28.8,57.6
50,m,177,87,19,124.6,102.5,34,32,50.1,,34,104,41,26,36.3,26.7,31.7
67,F,146,50.9,14.0,121,136.8,30.0,40.0,50,33.2,26,94,40,19,27,,
27,female,165.0,187.4,,100.0,,33.3,32,63,40.7,28.1,115.0,,21,38,44,45.6
51,FEMALE,154,46,15,110,95.0,27,34,65.0,38.1,28.9,68,45,20.0,25.0,28,
59,female,160.8,84,15.5,110.0,131,34,25.0,24.4,35,25,108.0,41,21.8,,41.6,35.5
69,Female,158,67,15.0,922.0,117,33,39.8,64,40,27,80,40.7,21,30.3,43,21.6
69,Female,158.7,67,15.0,922.0,117,33,39.8,64,41.5,27,80,40.7,21,28.5,43,21.6
71,Female,156.4,73,15.0,,114,35.0,46.0,55.0,40,23,83,36,20.5,31.6,44.1,
67,female,152.8,55.6,15,101,93,13.1,27.8,65.8,35,25,126.2,34.7,24,31,37,
19,f,169,79,15.0,105.0,150.0,29,25.0,50.0,14.2,27,,38.6,21,35,42.0,37.4
28,FEMALE,175.0,80.0,16,109,100.0,31.8,35.5,60,,27,114,35.0,20.0,34,37,27.5
62,Female,157,95.0,17,105.0,104.6,35.0,41,67,41,23.8,75.5,38,21,35.3,36,37.5
24,M,176,209,20,135,173.7,50.0,46.9,,48,30.0,125.5,49,25.0,52,60.0,
72,male,171,68,20,123,99,40,35.0,18.3,35,30,123,43,22,54,17,26.1
26,m,172,100.2,17,103.6,113,38,38,59,40.0,31,106,48,21,40.0,30,44.1
42,female,163,103.6,15.0,127,111.7,35,35.5,77,45.5,26,100.0,400.0,25,25.0,48,31.5
42,FEMALE,158,76.1,17,122.5,105.6,35.0,40,51,35.0,27,86.6,41,23,25.0,46.3,34.8
52,F,162,111.5,16,127,139,34,44.1,54,43.4,28,126,43,23,30,53,52.7
43,male,162.1,98,18.9,104,115.0,39.2,30,56.1,46,33,120.0,50.0,32.0,39,43.2,47.9
22,m,170.0,50.0,15,80,91,36,28,,36.9,29,97.5,42.6,25.0,33,10.4,22.2
72,Female,63.0,85,15,88,116.3,34,35.0,51,39,24,,36,22,38,41.7,31.0
34,female,168.1,101.7,15.0,89,,40.0,46.7,44.4,38,23.6,114.4,41,21,34,46.3,56.2
35,Female,,114.7,166.0,121,160.0,41.0,29,73,50.0,25.0,87,41,24,50,38.6,
50,Male,180.0,108.6,18,117.9,118,4.0,41.4,49.7,46.0,31.7,97,42.3,22,54.0,39,47.6
63,FEMALE,160.0,70.0,15.8,78.7,110,34.6,30.0,69,36,25.0,87,39,21,40,32,29.2
64,M,175.0,198.5,20.0,124,91.2,39,39,64,37.5,28.2,90.2,50,26,36.3,21,38.1
63,female,170.0,105,15.0,114,138,39,39,57.2,40,28.3,94.2,40,23,30,53,49.0
48,M,187.4,50.8,6.1,81.4,97,33.4,21,47.1,35,28,97.2,49.7,21,38,21,24.5
58,female,164,98,15,121,142,,40,58,38.3,,110,38.5,19,34,35.0,46.7
59,MALE,168,95.0,18.0,120.0,115,44,35.9,49.6,30.4,28,125.0,40.0,28,39,25.0,
20,Male,161,74.5,18,76.8,37.6,35.9,32,61,33,29,107,52.0,27,38.0,18.6,29.6
68,female,146,63,16,113,100.2,36,39.1,66,32,25,89.8,41.4,22.0,42,43,27.7
60,F,162,83.7,15,96,105.3,37,36,60.0,39,25.4,72.7,38,22,31,56.2,
22,m,180.0,59,18,,75,39,28,64,40.4,36,100,43.3,22,36.7,18.6,19.1
38,female,165,80.0,15,80.1,99,30.0,38,56,42,27,97,,200.0,30.0,44.1,34.8
47,male,190.0,97,,90.0,118,40.0,35,67,40.0,,95,41.8,25,49,43,43.0
36,Female,165.8,209.5,,107,105,36.6,21,57.7,37,25.9,75.0,40.0,22,32,34,
21,Male,188,79.0,17,114.2,105.3,39,20.9,60.0,40,30,92,43.7,20,31.7,41,30.3
59,FEMALE,167,79,17,104,113,37,42.5,57,41,26,105,33,22.0,31,45.0,30.4
51,FEMALE,164.0,110.0,,99,,38.4,43,76,36,26,110,44,21,34.8,45.0,41.5
44,M,180.1,78,14,56.900000000000006,,,34,50,41.0,31,,42.8,25.0,35.0,30.0,38.2
36,F,161.1,74.1,16,104,111,35.0,39,66,16.3,24.9,90,37,22,33,34,27.0
57,M,175,220.5,18,102.5,115,45.0,42,51,34,10.6,94,36,25,26.5,10,46.8
35,FEMALE,166,63.0,16,77,105,31.9,36.4,62,34.5,27,95,36,20.0,31,28,24.3
72,Female,159.3,61,15.6,98,91.8,30.0,25.1,69,44,9.4,38.3,36.4,20.5,30.0,,21.2
21,FEMALE,161,52,13.8,79,100.0,30.7,20.2,50.0,440.0,,98.2,39,20.0,29,24.8,25.5
60,FEMALE,151,67.6,16,105.0,111,36.8,40,54,42,25,105.1,40.0,23,30.0,35.0,34.7
49,Male,178,100.9,17.0,102,116.1,36.4,51,59,40,33,104.6,43,27,34,19,54.7
44,MALE,176.4,68,18,109,110.0,42,29.7,70.0,38.7,,84,41,8.3,53.0,28,28.4
51,FEMALE,155,85,13,112,130,36,42.3,62,46,28.6,88.5,38.0,21,32,44,28.0
27,m,181,96,18,95,105.0,35.0,36,60.7,39.2,33,92,45.0,,34,9,39.4
25.7,m,181,96,18,95,105.5,35.0,36,60.7,39.2,33,92,45.0,,34,9,40.1
19,Female,165,67,17.0,93,88,32,23,50,27.7,26.7,100,,20,37,36.2,
34,female,158,125.0,18,98,118,39,40.0,76,45.7,30.0,115.8,38,23,35,58,55.8
58,F,158,81,116.0,120.2,44.5,30.4,35.7,55.3,37,26,112.3,40.4,23,31,46.4,
67,M,166,85,18.3,120,110,35.0,31,53,38,25.0,120,43,,44,40.0,31.2
25,f,146.8,62.5,71.0,71.9,114,28.4,9.8,63,36.8,21.7,84.4,37,21.2,35,30,35.3
60,Female,159,101,16,105,105,35,44.9,71,52,25.0,89,45.0,20,36,51,37.2
70,Male,181,80,16.8,116,102,39.7,33.2,64,41.7,32,107,43,26,37,25.0,37.3
41,F,175,93,51.0,87,98.6,33.2,40.0,55,33,23.6,79.9,40,22,35.0,26,40.2
41,F,175,93,51.0,87,98.6,33.2,40.0,55,34.5,23.6,79.9,38.1,22,33.2,26,40.2
37,Male,177,69,18.4,120,95,38,28,61,30.0,30.0,85,44,26,36,23.7,31.4
44,MALE,183,94,20,97,106,32.9,32,53.6,40,29.6,117,43,24,35.0,20.4,37.2
53,male,185,83,17,102.5,110,36.9,38,58.8,,30.0,119,45,25,29,8.5,21.5
35,male,172.1,64.7,18,104,38.6,34.7,25.0,,,31,99,47,23,37.0,26.8,
64,Female,153,53,16,103.6,130.0,30.0,26.1,60.0,40.9,24,90.0,41,20,28,34,20.8
47,f,159,101.9,17,165.0,131,41,45,65.0,40.0,26,52.0,38.5,25.0,39,44,39.6
34,f,162.5,90,17,103,123,35.0,40,61,36.6,28,107,334.0,22.3,34.0,47,39.1
40,FEMALE,168,39,15.0,98.4,100,30.0,33.6,52.4,40.0,20.0,95.0,41,20.0,25.9,31,18.3
30,M,174,101.7,20.0,126.5,125.0,45.0,41.1,62,44,33,132.5,46.4,23.0,30.0,31.8,40.3
54,m,176,85.9,17.8,110.1,122,40.0,40.0,54.6,36,92.0,102.4,46,,36,31,32.7
41,MALE,175.3,115.0,20.0,50.4,123,41.4,45,65,45,33.2,127,45.3,24.1,40.0,52,54.8
20,m,170,97.0,18,78,98.7,39.8,33.9,61.3,37.2,30.0,104.6,45.0,23,31,30.0,29.1
40,Female,152.2,51.5,16,113,104.7,29,33,62.2,35.0,26.5,80,33,21.0,31.5,30,22.8
48,M,185,108,20.0,100,164,39,42,51,38,25,105,45.0,23.3,41,33.8,43.7
41,male,170,101.8,20.0,105.0,126.8,48.6,40.0,55.0,43.3,29,117,42.3,23.8,36.0,24,40.1
60,M,163,59.9,18,84,102,37,32.6,57.2,36.7,25.2,95,41,21.9,33,26.5,26.6
47,female,159,88,15,109,103,35.0,50.0,60.0,40.0,28.4,95,40,23.8,38,44,35.1
50,male,182.7,149.9,18.2,95,104.7,31,20,46.9,40,27,116,45,23,33,6.1,29.1
71,FEMALE,155,116,16,151.0,114,37,43,64,42.9,27.7,100.0,45.0,22,40,48.2,37.8
40,m,156.6,75.2,18.6,95.0,130.0,45.0,44.0,65.7,338.0,30.0,100.9,47.4,25.0,36.4,37,31.2
57,F,160,45.0,,69.0,122,30.0,20,41.9,38,25,80,31.2,18,24,33,
64,female,179,107,,123,134,32,,55.0,40,25,103,40.0,22,36,42,54.5
35,MALE,185,108.4,20.0,91,113,37.6,43.7,54,39,31,48.6,48.0,25.0,17.3,33,
49,m,175,118,18,130,113,42.6,36.5,65.4,40.0,43.6,112,45,28,38,32,39.2
19,M,163,85,20.0,111.9,111,45,35.1,62,35.0,31,100.0,48,22.5,45.0,52,40.1
67,FEMALE,,80.0,16,105.0,107,35.0,35.0,63,38,26,,39.0,20,40.0,41,41.0
51,Female,167.3,55.0,14.6,96,131,30.3,30.0,54.1,39,24,17.0,39,,20.0,30.0,25.2
37,MALE,185.0,137,18,118.1,128.5,45.0,40,64,40.0,28,114,45.6,8.9,42,41.1,57.5
69,male,169,95,,100.0,110.0,38,299.0,68,39.9,27,103,,22,45.4,29.6,35.5
41,male,165,93,20,125.3,119,42,36.4,59,43,30.0,95.3,43.8,24,40.0,35.0,40.5
61,male,177,98,20,,96.5,38,40,58,45.0,28,42.3,44.6,32.0,35.4,19.1,40.2
30,M,178,128.8,19,106,118,37,47,73,16.5,11.8,110.2,39,,41.8,35.6,
27,F,149.4,68,15,82.7,119.2,31,37.1,63.6,40,26.3,118,40.1,23.1,24,34.1,29.6
72,female,160.5,49,15.9,93,115.0,29,20.2,52,32,23,110,38.6,19,25.0,39.6,19.8
55,M,169,91,20,106,112.0,44,42,64.5,40,30,123.3,38,25,39,40.0,39.2
31,M,171.5,65.0,18,98,110.0,,35.0,60,42,29,108,43,,34,37.4,23.6
28,FEMALE,165.3,80,18,35.4,98,37,33,55,43,22,85.0,43.1,19,35.0,30,33.4
51,F,165,95.3,17,,113,12.6,45.0,48,35.0,23.3,103,14.4,20.2,30.5,52,
26,FEMALE,148,61.1,16,115,107,35,32,52.4,40.0,,,40.0,20.0,37.4,50,22.2
55,FEMALE,160.0,109,15.0,113,134,37,40.0,55.0,40.6,24,100.8,35.7,9.1,28,60,52.7
49,Female,162,78,15.0,96,103,32,41,67,44,23,82,40.0,19,35.0,39,27.6
62,MALE,184.0,120.0,28.7,90.6,129,39,35.0,74,40.6,31.0,125,41,23.5,36.8,34.5,54.2
63.7,MALE,184.0,120.0,28.7,90.6,129,39,35.0,73.6,40.6,31.0,125.6,41,23.5,36.8,34.5,54.2
55,FEMALE,157.3,66.1,14.5,85,100,23,25.9,70.0,31.8,27,100.9,34.3,20,33,35,28.6
30,m,166,100.0,18,131.1,116,41,35.0,50.0,50.0,29.3,,47,25.2,34.2,35,31.5
37,MALE,169.0,35,18,93.4,75,32,33.6,53,37,26,105,40.0,18,35,15,16.6
34,MALE,169.8,64,6.7,109,92.1,38,30.5,58,41.6,,103.7,45.0,20.0,35.0,22,18.8
54,Male,185.0,76,18,105.0,100,43,36,39,31.3,34.8,112.6,45,25.0,35.0,20.1,28.7
51,Male,178.1,110.0,,117,127,39.9,30.0,56,35.0,30.1,100.8,,23,41,35,53.9
70,male,173.5,99,17,100.0,117.0,40,41,47,40,32,111.1,46,22.0,34,32,43.9
48,M,183,84.4,20.0,113,160.0,31.6,32,55,42,30.0,106,45,27,40.0,26,
58,f,164,183.0,16,69.6,123,39,49,58,36,23,133,37,23,30.2,10,
68,M,169.9,87,20.0,111.0,41.7,40,35,65.5,38,26,89.1,52,27,36,26,35.5
21,F,165,48,16,82,95,32.7,22.7,65.0,38,22.2,86,35.0,20,36,28,20.2
49,male,175.0,105.0,20.0,115.0,127.4,45.0,40.0,66,41.1,31,122.2,551.0,23.8,42.1,43.0,38.9
26,FEMALE,167,100.0,15.0,85,97.5,34.0,38,74,43,27.8,90.0,40.6,22,,40.7,
32,F,162,84.1,,87,108.9,33,40.0,66.3,42,32.0,,44,23,15.1,35,35.6
19,FEMALE,160.1,35,14,96.3,91,30.7,21,54.8,40.3,21.0,77.9,38,20.0,32.5,25.6,14.6
25,m,166.3,72.3,20.0,94,100,34,35.0,53,33.6,28.0,104.2,37.6,26,32.8,20.0,34.7
27,MALE,176.6,95.0,15.0,78,,42.0,32,60.0,45.0,31.8,115,43.7,25,36,17,37.1
22,M,182.4,151.1,20,134,118,43,44,74,44,30.0,133.7,48.8,10.4,40.0,45.0,58.3
74,Female,150.5,95.0,17,99,128,38,38,61,43,30,105.4,40.0,21.9,30.8,58,
32,male,185.0,95.0,18.3,79.3,97,36.1,32.0,64.4,38.7,32.8,111,44.3,25,39,29,48.9
27,F,161.8,75.0,15.0,,130,33.1,31,53,39,26.8,30.3,30,20.0,32.4,41,32.6
50,Male,180.0,56,18.4,85.0,94,33,35,60.0,38,29,125.0,41,21,37,10.0,29.6
51,F,154.8,69,15.9,123,,35,39.8,63.7,36,21.3,109,39,21.0,34,47,32.2
74,Female,145,50,15.0,107,104,30.0,22,45.3,41,24,36.4,41.8,19,27.8,41,21.7
46,Female,161,55.0,15.0,72.9,115.0,31,40.0,53.5,45.0,28,95.3,37.1,21,22,34,24.7
60,M,169.8,113,21,140.0,122.1,47,39,70.0,43.4,28,128.3,40.0,25,46.2,42.6,45.8
40,MALE,70.9,117,18,175,175,40,37.1,61,,30.0,115.0,45,27,35.0,33,55.2
62,male,183,98,19.3,130.0,92.9,40,35,58.3,35.0,30.2,98,39.5,23,39,,38.8
27,female,166.7,63,16.6,60.0,115.0,35.0,32,35,35,25.0,107.8,39.3,22.5,27,28,23.6
32,MALE,155,78,18.3,116.9,113.9,41,39,74.4,46,28.7,120.0,46.2,25,42.1,35.6,
24,female,164,93,16.7,83,125.0,36,39,53.2,40,25,103,39.3,19.8,30,39,53.2
46,m,177.2,79,18,,94,42,37,59,40,300.0,59.1,41,24.2,34.0,30,
74,f,168.9,81,15.8,87.4,119.7,35.5,28,69.6,40.0,25.2,119.2,35.8,20.0,33,42.8,34.1
54,m,175.0,83,7.9,105,,35,33,67,39,29.0,119,38,25.0,41.0,28,38.4
52,MALE,160.0,86,18,136.3,135.3,41.7,336.0,58.0,35,,114,43.0,28,35,45,33.7
42,m,165,97,16,116.8,113,41.2,40,60.0,40,33,95.0,,26,38,30.6,39.3
36,f,151,64.5,17,75.3,,35.0,33,61,32.6,25.0,85.6,40.0,7.9,25,40.0,31.8
73,male,175.0,114,19,132,114.3,39.9,,62,38,35.0,111.9,45.0,24,36.5,39,59.7
39,Male,179.5,90,19,106,101.7,38,24.5,56,44.5,35.5,101,44,24,36,335.0,
34,female,174,77.3,16.4,103.1,100.0,35,30,64,40.0,24,90,,25,32.0,25.0,26.9
71,female,171,97.9,15,145.0,165.0,38.0,25.0,58.0,39,30.0,106.1,36.0,24,30,35.0,44.5
63,Female,157.6,65.0,15.0,,114.4,30.0,39,63,39,29,95.3,35,22,27,25.8,28.6
66,M,170.0,96,20.0,130.0,127.2,24.0,34.9,63.4,38,26,113,43,,39,35.0,36.8
59,Female,156.0,100.0,17,50.0,92.1,38,49.9,70.0,39.4,24,110,42,18,35.7,55.0,51.2
62,Male,190,77,17.2,107,113.7,37,32,52.1,35.0,,113,43.1,25,35,19.7,30.1
73,Female,145,102,17,111,123,41,46,71,45.0,25.0,108,40,24,34,53,35.5
34,Male,159.4,74,20.0,90,115.0,41.3,36,53.8,42,24,78,49,25.0,32.9,37,34.0
48,female,159.7,73,6.3,103.4,146,33,38.2,60.7,39,27,69.1,42,22.7,26,33,30.8
74,MALE,160.4,76.9,18,102,111.0,37,38.2,65.5,37,35.0,101,46,24,35.0,17,
22,female,518.0,50.0,,106,111.7,,38,65.0,37,23,79,34,18.7,27,37,20.5
25,m,65.0,73.4,20.0,97,127.7,43,28,41,44,29.0,90,45.0,25,34,,28.2
29,Female,167.6,80.0,16,88.6,104.3,30.0,,55,37,23.9,98,37,20.9,28.8,31,26.5
38,male,176,90.0,17.1,90.0,107,37.6,411.0,67.1,,27.9,119.4,45,27,,37.9,39.7
23,female,158,72,15.3,91.6,87,33,35.0,,39.7,20.0,111.0,40.0,22,37.4,48,30.2
38,M,174,78.4,16,90.0,115,40.0,40.0,40,35,,110.0,40.0,25.8,30.2,45,39.5
51,Female,160.0,83,13,318.0,120,34.5,31,65.0,40.0,28,31.5,35.0,20,30.1,40.0,30.9
41,M,190.3,125.0,17.2,,129,45.0,41,62.3,42,30,115.0,44.4,23,40,23.9,
31,FEMALE,160.0,35.0,15,80.0,118.9,30,20,50.0,32,23,90.0,38,21,,21,15.6
36,male,170,82,19.5,91,111,35,30.7,63,40.5,28,113.3,40,25.4,45.0,20.0,35.5
42,MALE,177,100.0,21,100.0,127,40,38.1,65.0,44.3,12.6,119.1,44,25.0,36,33.0,49.1
21,F,179.1,130.0,17,90.0,125.8,40,30.0,74,40,28.3,100.5,40,24,44.1,44.6,63.6
72,FEMALE,155.6,67,15.8,103,98.4,30,28.5,57,40.0,25.0,103,39,18,30.0,50,21.2
43,MALE,170.0,124.7,20,,119,41,35.0,77.6,40.0,33,101.2,43.9,27,47,,52.0
57,male,177,93,29,112.1,112,37.7,40.5,48.0,37,30,88,40,20.0,38,35.0,35.3
38,female,154,100,16.0,124.8,118.6,39.6,45.0,62.5,33,28,118,38.0,25,35,35.0,39.5
56,female,166,114,17.2,105.0,128.9,39,46,69,41,30,95.9,40.0,21.2,38.0,59,36.0
26,FEMALE,165,66.0,18,77,105,30.0,39.1,65.4,16.5,19.6,94,45.0,20.0,40.0,47,26.9
31,FEMALE,163,,15.6,103,1055.0,29.8,30.5,64,33.8,,106,34,24.9,,35.0,29.4
36,m,185,88.2,17,109,112,45.1,37,56.0,45,31,109,44.0,24,30,36,35.6
66,male,183.3,120.0,20,131,110.0,40.0,37.1,59.7,45,32.0,125.0,43.2,26.6,30.0,17,63.1
27,Female,165,59.6,16,63,100,33,30.0,50.5,34.9,25.3,80.0,36,21,29,40.9,29.5
66,f,165.0,94,17,111,92.6,33.4,43,46.4,40.0,25.6,98.0,42,200.0,40.5,50,55.1
19,F,166,91,16,134.1,125,35,40.0,68,43,27,114.9,41,22.5,33,45,46.3
60,FEMALE,168.1,61,15.9,98,123.5,30.0,29.0,58,37.1,24,93,39,,36,25.0,24.1
58,f,153.2,63.6,15.0,105,124.9,29.8,35,65,41.3,25.0,108,34,22.2,44,38,
28,F,174,104,17,90.0,115,33,40.0,57,45,22.6,,40.0,17.7,27,53.1,
