Age,Gender,Weight(Kg),Height(cm),Muscle(%),Body Fat(%),Daily Average Calorie Intake,Daily Average Protein Intake(g),Daily Average Fat Intake(g),Daily Average Carb Intake(g),Daily Average Sugar Intake(g),Exercise per week,Waist circumference (cm),Hip circumference (cm)
26,1,87,178,76,14,3344,130,93,497,94,3,34,46
57,0,57,156,52,23,-193,68,-5,-105,-25,0,32,32
23,0,63,166,62,24,-258,88,-7,-137,-43,2,14,32
54,1,62,161,69,14,1906,81,53,276,53,1,23,27
54,0,55,162,51,25,-193,66,-5,-103,-25,0,19,37
33,1,62,178,77,11,2516,87,70,384,74,2,19,36
67,1,75,174,60,21,3015,120,84,445,87,4,32,47
21,1,68,181,75,16,2054,82,57,303,63,0,32,39
23,0,54,158,60,26,-290,81,-8,-136,-30,3,16,22
22,1,59,178,86,5,4154,112,115,668,135,7,33,19
28,1,60,168,78,11,2727,90,76,421,81,3,22,36
20,0,59,165,67,20,-258,83,-7,-132,-28,2,26,37
27,0,60,158,60,24,-225,78,-6,-121,-27,1,19,45
60,0,59,155,46,29,-258,83,-7,-132,-26,2,27,29
30,1,61,171,77,12,2454,85,68,376,77,2,23,30
28,0,50,162,65,19,-225,65,-6,-108,-26,1,30,29
27,1,79,177,80,10,3532,126,98,536,112,4,31,49
23,0,53,167,64,22,-225,69,-6,-112,-24,1,23,37
27,0,83,170,48,37,-258,116,-7,-165,-37,2,30,36
24,1,54,167,82,8,2350,76,65,365,66,2,25,25
42,0,39,154,58,22,-225,51,-6,-94,-17,1,8,28
21,0,46,152,61,25,-225,60,-6,-103,-7,1,17,16
59,1,49,140,72,10,1505,64,42,218,46,1,17,26
49,0,68,172,46,33,-258,95,-7,-144,-22,2,25,27
63,0,49,166,52,21,-354,83,-10,-149,-23,5,17,43
60,1,82,179,70,12,1972,98,55,271,54,0,37,40
30,1,67,177,74,15,3589,114,100,558,115,5,25,42
28,1,61,172,73,16,2170,79,60,328,57,1,21,38
24,1,66,183,81,9,2364,86,66,356,71,1,31,49
20,1,65,171,86,5,3248,104,90,506,103,4,33,26
20,1,63,164,85,6,2808,94,78,432,92,3,23,23
65,1,79,192,55,27,2338,103,65,335,65,1,36,48
25,1,66,180,81,9,2331,86,65,350,73,1,34,39
33,0,72,166,57,26,-322,115,-9,-175,-26,4,25,42
26,0,57,165,55,30,-225,74,-6,-117,-19,1,25,32
68,0,43,161,48,24,-193,52,-5,-89,-23,0,22,24
60,0,67,170,50,24,-354,114,-10,-180,-37,5,22,34
77,1,72,180,70,7,2051,94,57,290,60,1,31,37
53,0,66,169,54,22,-290,99,-8,-154,-35,3,24,26
26,1,66,178,82,8,2636,92,73,403,84,2,21,34
28,0,57,163,57,27,-225,74,-6,-117,-24,1,27,20
55,0,64,172,57,18,-258,90,-7,-139,-30,2,29,39
55,1,52,163,66,17,2030,73,56,308,65,2,34,27
28,0,50,153,55,29,-386,90,-11,-162,-30,6,25,26
50,0,66,167,47,31,-322,106,-9,-166,-27,4,23,37
32,0,80,168,62,21,-225,104,-6,-147,-38,1,32,40
21,0,62,164,73,13,-225,81,-6,-124,-30,1,28,39
28,1,78,179,78,11,2469,101,69,361,73,1,34,47
19,0,55,167,67,20,-225,72,-6,-115,-19,1,23,37
69,1,61,167,60,21,3153,110,88,480,99,6,31,24
50,1,66,170,59,26,2660,99,74,400,76,3,33,25
25,0,56,159,72,13,-225,73,-6,-116,-26,1,35,40
21,1,68,173,83,8,2326,88,65,347,65,1,36,31
18,1,75,172,80,12,2436,98,68,358,66,1,28,40
32,1,76,183,77,11,3148,114,87,477,94,3,40,34
19,1,74,194,82,9,3352,111,93,518,98,3,24,36
22,0,56,160,60,26,-258,78,-7,-127,-28,2,25,29
23,1,71,183,79,11,4185,128,116,657,132,6,31,43
22,0,50,153,65,21,-258,70,-7,-119,-35,2,27,15
67,0,54,159,47,26,-258,76,-7,-125,-27,2,21,42
30,0,55,148,53,31,-225,72,-6,-115,-25,1,23,40
26,1,58,170,78,12,2428,81,67,375,74,2,30,21
66,0,55,168,45,28,-322,88,-9,-148,-32,4,24,25
27,1,39,179,78,12,1930,51,54,310,63,1,18,11
22,0,45,161,58,28,-258,63,-7,-112,-22,2,17,33
30,1,64,190,80,9,2692,90,75,414,87,2,39,42
26,1,56,164,75,15,2336,78,65,360,67,2,31,35
28,1,64,177,72,17,2256,83,63,339,68,1,26,36
60,0,49,161,42,34,-322,78,-9,-138,-20,4,13,26
26,1,69,171,75,15,2614,97,73,392,75,2,33,45
78,0,72,170,35,37,-258,101,-7,-150,-35,2,38,33
26,1,71,184,83,7,2082,85,58,305,64,0,31,42
22,0,61,167,66,20,-193,73,-5,-110,-21,0,30,30
23,0,54,163,56,30,-258,76,-7,-125,-26,2,20,25
57,0,60,163,50,25,-419,114,-12,-192,-33,7,21,27
52,1,67,175,71,13,3923,127,109,608,124,7,33,37
31,1,66,170,73,16,2202,86,61,327,61,1,28,19
51,0,48,151,46,32,-258,67,-7,-116,-20,2,16,27
26,1,75,180,78,12,2800,105,78,420,86,2,32,37
63,1,68,164,60,22,2232,95,62,324,70,2,35,26
64,1,62,172,57,25,1932,81,54,280,56,1,25,30
26,1,68,165,73,17,2538,95,70,382,75,2,29,36
57,0,41,153,49,27,-258,57,-7,-106,-17,2,19,3
21,1,75,189,82,9,2198,90,61,322,59,0,40,45
59,1,48,177,62,21,1815,62,50,279,47,1,10,28
20,0,53,168,61,25,-290,80,-8,-134,-27,3,34,37
54,0,67,167,59,16,-225,87,-6,-130,-18,1,34,51
23,1,49,168,72,18,2002,64,56,310,58,1,20,38
64,1,88,186,62,20,3110,132,86,452,85,3,43,50
60,1,78,179,61,22,2245,101,62,321,71,1,37,47
32,1,63,184,81,7,1950,76,54,290,62,0,44,33
64,1,63,171,59,23,2491,94,69,374,75,3,27,31
23,1,75,180,80,10,2824,105,78,426,89,2,41,32
29,1,58,176,77,12,2156,75,60,329,62,1,37,22
66,0,51,151,45,28,-290,76,-8,-130,-27,3,16,39
51,1,51,172,75,9,2670,82,74,419,83,4,12,24
28,0,63,175,67,17,-386,113,-11,-185,-33,6,22,41
18,0,66,178,67,20,-290,99,-8,-154,-35,3,28,19
62,0,69,176,41,35,-193,83,-5,-120,-31,0,29,21
24,1,69,176,73,17,2345,90,65,350,68,1,28,32
29,0,58,156,63,21,-225,75,-6,-118,-22,1,20,20
60,0,59,156,53,21,-225,77,-6,-120,-20,1,29,18
24,0,59,163,54,31,-258,83,-7,-132,-27,2,28,38
32,0,54,165,61,22,-354,92,-10,-158,-33,5,20,13
63,0,66,176,47,27,-225,86,-6,-129,-22,1,27,35
26,0,66,161,63,22,-225,86,-6,-129,-31,1,22,49
57,0,40,168,57,17,-225,52,-6,-95,-15,1,16,22
50,1,72,174,72,12,2188,94,61,316,58,1,33,34
57,0,55,155,45,31,-225,72,-6,-115,-13,1,27,30
51,0,43,156,48,30,-225,56,-6,-99,-15,1,6,20
60,0,63,161,47,28,-225,82,-6,-125,-25,1,28,45
19,1,70,174,77,14,2376,91,66,354,70,1,38,40
60,1,65,187,72,10,2743,98,76,417,84,3,27,30
65,0,50,171,50,23,-258,70,-7,-119,-17,2,16,34
59,1,64,173,75,7,2576,96,72,386,79,3,24,42
24,1,54,192,75,15,2600,76,72,412,82,2,23,22
20,0,55,173,71,16,-258,77,-7,-126,-29,2,14,42
51,0,42,158,44,35,-290,63,-8,-118,-28,3,22,22
20,0,77,175,75,12,-258,108,-7,-157,-31,2,37,29
65,0,55,159,54,17,-258,77,-7,-126,-24,2,13,39
23,0,51,149,69,17,-193,61,-5,-98,-28,0,24,20
55,1,74,177,68,15,2207,96,61,318,58,1,25,36
58,0,55,175,53,21,-354,94,-10,-160,-34,5,18,40
24,1,71,182,76,14,3465,114,96,536,107,4,39,35
24,0,75,168,64,21,-290,112,-8,-166,-33,3,21,55
55,0,65,167,54,21,-258,91,-7,-140,-31,2,24,32
26,0,61,164,70,15,-225,79,-6,-122,-25,1,25,37
54,0,68,173,39,39,-258,95,-7,-144,-26,2,33,32
24,0,61,166,68,17,-193,73,-5,-110,-22,0,21,25
55,0,68,168,48,28,-258,95,-7,-144,-24,2,23,25
54,1,76,173,66,18,2207,99,61,316,63,1,37,39
55,0,47,155,50,26,-225,61,-6,-104,-32,1,19,29
54,0,57,157,50,26,-258,80,-7,-129,-28,2,26,17
55,1,61,169,71,12,1955,79,54,288,64,1,36,30
68,0,41,162,55,15,-290,62,-8,-116,-23,3,17,18
44,1,69,179,68,18,2231,90,62,328,66,1,29,28
24,1,76,170,69,21,2732,106,76,406,78,2,31,37
25,1,59,167,84,6,1816,71,50,270,48,0,38,31
58,1,61,169,76,6,1934,79,54,283,62,1,26,27
18,1,85,170,78,14,2193,102,61,309,58,0,37,42
53,1,48,169,71,12,2297,72,64,358,75,3,23,25
28,0,69,173,59,25,-193,83,-5,-120,-20,0,29,41
64,1,73,179,71,10,1840,88,51,257,48,0,34,20
63,0,41,145,45,29,-225,53,-6,-96,-17,1,8,8
31,0,67,173,65,18,-290,100,-8,-154,-32,3,28,39
56,1,73,171,70,13,3048,117,85,454,94,4,37,37
27,0,54,157,59,25,-225,70,-6,-113,-19,1,26,44
57,1,53,170,71,11,1837,69,51,276,52,1,19,30
21,1,62,169,85,6,4098,118,114,650,130,7,27,42
37,0,39,151,58,23,-258,55,-7,-104,-18,2,13,27
55,1,49,163,67,16,2478,78,69,386,77,4,15,22
47,1,55,169,72,13,2752,88,76,429,85,4,28,26
23,1,56,161,80,10,2912,90,81,456,86,4,18,36
28,0,40,158,61,23,-322,64,-9,-124,-29,4,15,25
46,0,53,163,54,25,-354,90,-10,-156,-36,5,25,17
44,1,66,181,79,6,2522,92,70,381,77,2,28,39
59,0,64,159,42,35,-258,90,-7,-139,-27,2,24,23
50,0,58,170,49,29,-258,81,-7,-130,-21,2,32,34
25,0,69,173,71,14,-258,97,-7,-146,-31,2,21,39
52,0,42,169,57,19,-225,55,-6,-98,-19,1,17,27
20,0,61,178,54,32,-354,104,-10,-170,-37,5,21,23
18,0,64,163,67,20,-225,83,-6,-126,-34,1,24,36
59,0,63,170,50,25,-258,88,-7,-137,-23,2,21,40
28,0,51,162,61,23,-290,76,-8,-130,-26,3,20,22
18,0,47,155,70,17,-225,61,-6,-104,-18,1,20,26
26,1,70,185,81,9,2078,84,58,305,69,0,28,37
49,1,74,172,71,14,2520,104,70,368,70,2,33,39
60,0,56,166,51,23,-225,73,-6,-116,-24,1,16,41
60,0,52,162,46,29,-290,78,-8,-132,-27,3,12,13
51,1,71,187,74,10,2606,99,72,390,75,2,28,35
67,1,53,163,63,18,1706,69,47,252,43,1,17,28
26,1,61,157,78,12,2053,79,57,306,62,1,27,41
70,0,58,166,52,18,-258,81,-7,-130,-28,2,21,34
28,0,61,157,67,17,-193,73,-5,-110,-13,0,26,27
29,0,44,148,58,26,-225,57,-6,-100,-19,1,20,15
20,1,73,180,82,9,2816,102,78,426,83,2,42,34
31,0,46,159,56,27,-225,60,-6,-103,-17,1,23,28
23,0,54,162,67,19,-258,76,-7,-125,-34,2,15,33
19,1,57,169,80,11,2151,74,60,329,69,1,14,32
51,0,64,165,52,25,-225,83,-6,-126,-23,1,29,43
40,1,75,180,74,13,2688,105,75,398,80,2,28,41
51,1,64,176,73,11,1788,77,50,258,57,0,22,38
23,0,62,163,59,27,-258,87,-7,-136,-32,2,31,33
53,1,64,176,70,14,1776,77,49,257,51,0,26,33
19,1,63,171,83,8,2896,94,80,450,96,3,34,42
22,1,66,186,79,12,2748,92,76,424,90,2,21,35
28,0,51,159,58,26,-258,71,-7,-120,-21,2,21,30
25,0,54,162,58,27,-258,76,-7,-125,-26,2,24,32
21,1,64,177,86,5,3292,102,91,516,106,4,35,44
61,0,54,156,49,25,-258,76,-7,-125,-22,2,18,30
26,1,72,184,73,17,2443,94,68,364,73,1,39,19
25,0,57,177,76,9,-193,68,-5,-105,-20,0,21,36
26,1,56,174,83,7,2132,73,59,327,64,1,25,26
19,1,78,170,78,13,2103,94,58,301,66,0,44,46
25,1,75,181,84,6,2466,98,68,366,71,1,48,42
24,1,53,168,77,13,2051,69,57,316,69,1,25,28
23,0,51,155,65,21,-225,66,-6,-109,-22,1,22,18
22,1,81,177,83,8,2536,105,70,372,70,1,40,40
25,1,70,180,80,10,3410,112,95,527,103,4,35,38
41,0,50,169,59,21,-322,80,-9,-140,-30,4,24,11
59,1,65,176,66,16,2336,91,65,347,81,2,30,36
50,1,78,175,73,11,2280,101,63,327,66,1,43,46
52,0,58,166,48,29,-193,70,-5,-107,-19,0,19,40
21,1,63,161,76,15,2765,94,77,424,87,3,35,31
34,1,84,180,79,9,2520,109,70,364,69,1,40,41
54,1,67,178,75,8,1821,80,51,260,50,0,36,30
40,1,64,181,71,16,2207,83,61,332,64,1,29,31
65,0,61,163,43,31,-354,104,-10,-170,-29,5,22,28
23,1,32,156,79,11,2133,48,59,352,71,3,19,7
55,1,69,172,71,12,2093,90,58,303,53,1,36,41
49,0,57,154,42,37,-193,68,-5,-105,-24,0,10,42
67,0,53,160,46,27,-290,80,-8,-134,-36,3,26,24
30,1,66,176,72,17,3230,106,90,499,101,4,39,36
28,1,70,175,71,18,1990,84,55,290,70,0,35,35
33,0,51,156,52,31,-290,76,-8,-130,-26,3,19,24
62,1,62,172,73,8,1668,74,46,240,43,0,20,37
28,0,62,168,66,18,-193,74,-5,-111,-20,0,20,12
50,1,74,182,73,11,2286,96,64,332,73,1,28,40
27,1,65,172,72,18,2871,98,80,440,92,3,24,39
56,0,61,164,43,34,-354,104,-10,-170,-32,5,31,26
58,0,73,175,44,32,-258,102,-7,-151,-25,2,30,38
29,0,55,153,59,25,-322,88,-9,-148,-33,4,23,17
46,1,81,180,75,10,3762,138,104,568,114,5,31,36
33,1,72,174,77,11,2306,94,64,338,74,1,28,34
75,0,57,161,42,29,-225,74,-6,-117,-20,1,18,27
28,1,77,191,78,11,2926,108,81,441,98,2,45,43
23,0,57,160,73,13,-193,68,-5,-105,-23,0,25,37
27,1,64,161,83,7,2729,96,76,415,82,3,29,37
18,0,61,165,65,22,-290,92,-8,-146,-31,3,26,19
21,1,69,176,70,21,2366,90,66,353,73,1,29,34
59,0,71,171,46,29,-225,92,-6,-135,-24,1,32,47
56,1,43,169,70,13,2665,73,74,427,85,5,27,19
25,0,50,151,67,18,-193,60,-5,-97,-15,0,20,31
63,0,55,164,45,29,-193,66,-5,-103,-16,0,20,42
20,1,48,162,82,9,1956,62,54,306,61,1,22,25
19,1,79,167,79,12,2092,95,58,298,57,0,34,37
28,1,82,190,72,17,2622,107,73,384,77,1,37,44
28,0,53,165,65,19,-258,74,-7,-123,-37,2,21,42
26,1,47,166,75,15,2212,66,61,350,65,2,22,19
26,1,68,174,85,5,2956,102,82,452,92,3,30,27
18,0,57,171,69,18,-258,80,-7,-129,-25,2,18,40
28,0,62,172,66,18,-290,93,-8,-148,-31,3,26,34
53,0,64,165,58,17,-225,83,-6,-126,-24,1,21,34
62,0,53,168,38,38,-225,69,-6,-112,-18,1,26,30
25,0,65,157,67,18,-225,84,-6,-127,-16,1,28,39
27,1,100,201,72,18,3827,150,106,568,111,3,42,34
18,1,71,187,75,17,4305,128,120,678,141,6,19,27
23,0,47,157,69,17,-322,75,-9,-135,-29,4,21,22
28,1,92,187,68,21,3126,129,87,457,87,2,49,46
49,0,47,161,59,18,-225,61,-6,-104,-29,1,14,28
58,0,62,164,48,27,-225,81,-6,-124,-25,1,20,49
23,1,78,177,81,9,3197,117,89,482,100,3,35,25
22,0,48,173,74,12,-258,67,-7,-116,-29,2,19,49
60,1,61,163,71,11,1867,79,52,271,63,1,19,33
25,0,67,167,65,20,-290,100,-8,-154,-34,3,30,53
26,0,77,166,73,12,-258,108,-7,-157,-32,2,32,51
28,0,79,175,58,26,-225,103,-6,-146,-32,1,34,47
66,0,73,165,43,31,-258,102,-7,-151,-28,2,30,40
21,1,78,186,74,17,2580,101,72,382,76,1,33,32
20,1,62,173,86,5,2570,87,71,396,84,2,32,41
58,1,70,178,68,14,2138,91,59,311,58,1,36,34
57,1,67,177,62,21,2394,94,66,356,63,2,27,37
18,0,64,161,71,16,-225,83,-6,-126,-27,1,35,32
65,1,68,181,59,23,2982,109,83,450,89,4,31,43
57,1,85,190,76,6,4218,153,117,638,132,6,27,46
23,1,67,185,80,10,2746,94,76,422,86,2,35,35
26,0,58,168,59,26,-225,75,-6,-118,-22,1,13,22
28,1,61,174,81,8,2188,79,61,331,59,1,30,32
22,1,50,177,80,11,2102,65,58,330,63,1,27,30
57,0,58,162,53,22,-322,93,-9,-153,-29,4,27,28
25,0,51,158,68,17,-258,71,-7,-120,-20,2,22,26
18,0,46,171,56,31,-193,55,-5,-92,-29,0,22,18
33,0,65,155,64,18,-354,110,-10,-176,-29,5,18,32
29,0,64,152,60,24,-225,83,-6,-126,-27,1,27,34
73,0,51,159,41,31,-225,66,-6,-109,-18,1,23,30
25,0,73,168,57,28,-354,124,-10,-190,-42,5,33,41
49,1,52,169,68,17,1871,68,52,283,56,1,16,19
26,1,78,177,73,17,4227,140,117,654,125,6,27,35
33,1,52,182,72,16,2096,68,58,326,69,1,30,31
22,1,54,162,82,9,2026,70,56,310,57,1,19,26
63,1,58,185,60,22,3138,99,87,490,98,5,30,24
24,1,70,183,79,11,2420,91,67,363,77,1,29,41
41,0,44,158,62,18,-290,66,-8,-120,-24,3,16,30
24,0,63,167,62,23,-354,107,-10,-173,-31,5,20,40
69,1,69,182,68,12,3273,117,91,496,99,5,41,35
29,0,47,159,61,23,-322,75,-9,-135,-26,4,23,32
60,1,78,186,59,24,2636,109,73,386,81,2,33,31
64,1,58,168,67,14,2630,93,73,400,83,4,15,14
25,1,63,167,81,9,3418,107,95,534,111,5,20,37
23,0,63,165,61,25,-386,113,-11,-185,-32,6,28,21
73,0,55,158,47,23,-225,72,-6,-115,-21,1,18,35
26,0,58,177,65,20,-193,70,-5,-107,-30,0,23,22
18,0,47,156,65,22,-193,56,-5,-93,-15,0,9,23
19,0,90,178,58,29,-225,117,-6,-160,-28,1,39,61
28,1,79,175,79,10,2798,111,78,413,81,2,38,27
21,1,55,163,80,11,1762,66,49,264,58,0,22,19
24,0,75,170,70,15,-354,128,-10,-194,-37,5,40,43
49,0,43,145,54,24,-290,64,-8,-118,-26,3,19,13
65,1,51,160,68,13,1428,61,40,206,44,0,15,27
67,0,52,164,50,22,-225,68,-6,-111,-17,1,23,21
21,1,79,170,77,14,3505,126,97,532,107,4,45,48
27,1,58,163,80,10,3231,99,90,506,100,5,23,34
20,1,52,162,74,17,2588,78,72,407,85,3,14,28
18,1,69,173,80,12,4047,124,112,636,119,6,29,35
55,1,72,179,71,12,3138,115,87,474,96,4,33,32
69,1,58,161,60,21,2742,99,76,416,88,5,30,41
78,0,69,152,44,25,-258,97,-7,-146,-26,2,30,32
54,1,68,172,61,23,2086,88,58,303,67,1,31,28
60,1,70,181,67,15,2458,98,68,364,77,2,18,33
18,0,61,167,72,15,-258,85,-7,-134,-33,2,27,37
18,1,65,173,75,17,2305,84,64,348,64,1,22,41
26,1,57,171,70,20,3028,91,84,477,97,4,31,39
20,1,49,181,83,8,2442,69,68,388,78,2,14,26
59,1,36,168,59,24,2464,61,68,402,84,5,7,7
61,0,55,146,36,41,-419,104,-12,-182,-30,7,29,36
28,0,86,164,71,13,-225,112,-6,-155,-31,1,26,50
25,0,58,153,68,17,-225,75,-6,-118,-22,1,22,39
25,0,51,158,61,24,-290,76,-8,-130,-20,3,30,19
75,0,41,150,37,36,-225,53,-6,-96,-22,1,17,30
23,1,63,176,71,19,3240,101,90,506,107,4,29,38
28,1,55,171,77,12,2077,72,58,317,62,1,23,28
20,1,61,183,75,16,2986,92,83,468,88,3,29,34
24,0,54,163,61,24,-258,76,-7,-125,-24,2,16,36
75,1,69,179,64,15,2014,90,56,288,40,1,35,43
62,1,74,182,68,14,2830,111,79,419,87,3,30,35
23,0,53,160,70,16,-258,74,-7,-123,-19,2,26,30
63,0,55,157,38,38,-225,72,-6,-115,-22,1,23,30
25,1,70,177,76,14,3035,105,84,465,91,3,23,38
19,1,93,178,87,5,3905,149,108,584,113,4,53,48
21,1,61,175,76,15,2566,85,71,397,93,2,27,37
19,0,50,154,62,25,-322,80,-9,-140,-37,4,17,29
56,1,71,181,74,8,2506,99,70,370,62,2,26,36
58,1,80,180,67,16,1968,96,55,272,56,0,36,42
23,0,57,158,54,32,-258,80,-7,-129,-26,2,23,29
68,0,63,170,46,26,-225,82,-6,-125,-20,1,34,23
60,1,96,184,64,19,2178,115,60,294,66,0,45,51
27,0,70,161,53,31,-322,112,-9,-172,-41,4,25,34
25,1,61,167,78,12,3988,116,111,631,127,7,33,35
22,0,60,162,59,27,-419,114,-12,-192,-50,7,26,51
22,0,79,170,72,14,-290,118,-8,-172,-37,3,24,51
18,1,67,177,71,20,2368,87,66,356,74,1,29,35
48,1,66,176,74,11,3965,125,110,619,123,7,19,30
22,1,74,179,82,9,2455,96,68,365,64,1,37,37
64,1,62,168,72,8,1626,74,45,231,43,0,27,27
22,1,53,169,74,17,2962,85,82,471,99,4,35,35
27,0,69,170,62,22,-419,131,-12,-209,-39,7,29,41
46,0,62,162,54,25,-290,93,-8,-148,-25,3,28,31
75,1,61,173,63,16,2114,85,59,311,64,2,22,30
48,1,70,179,74,10,1900,84,53,272,56,0,30,36
22,1,74,167,74,17,2686,104,75,399,89,2,25,49
25,1,87,185,79,11,2288,104,64,324,64,0,44,39
25,1,89,174,77,13,2972,125,83,431,87,2,44,44
29,0,69,167,61,23,-290,104,-8,-158,-27,3,27,40
48,0,73,170,46,33,-225,95,-6,-138,-27,1,29,27
26,1,60,161,73,17,2074,78,58,310,64,1,22,16
22,0,59,163,66,20,-193,71,-5,-108,-32,0,21,34
48,1,67,184,74,11,3170,107,88,488,91,4,34,29
31,0,47,167,52,31,-258,66,-7,-115,-20,2,22,27
53,0,69,177,52,24,-290,104,-8,-158,-34,3,23,39
53,1,70,178,67,17,2174,91,60,318,62,1,32,30
66,0,73,167,38,37,-193,88,-5,-125,-32,0,22,41
19,1,77,184,72,19,4392,139,122,684,131,6,41,46
66,0,45,152,52,19,-290,68,-8,-122,-18,3,18,26
68,0,50,156,49,22,-419,95,-12,-173,-34,7,27,14
25,0,66,169,62,23,-354,112,-10,-178,-32,5,31,18
55,1,67,183,68,15,2779,100,77,422,86,3,25,24
32,1,52,159,73,15,1902,68,53,288,70,1,29,23
27,0,43,140,67,17,-290,64,-8,-118,-23,3,17,47
30,1,60,171,79,10,2133,78,59,322,63,1,29,28
26,1,65,158,76,14,3932,124,109,614,121,7,30,31
25,1,53,182,75,15,1857,64,52,283,59,0,17,17
51,1,67,174,74,10,2110,87,59,308,63,1,37,27
66,1,71,168,62,19,2583,106,72,378,69,3,36,36
27,1,73,180,84,5,2070,88,58,299,64,0,35,31
64,1,46,170,68,13,1932,64,54,298,71,2,16,18
56,0,51,162,49,27,-386,92,-11,-164,-33,6,17,23
55,0,49,153,53,23,-225,64,-6,-107,-20,1,19,38
22,1,68,167,68,23,3238,109,90,498,100,4,35,37
20,1,70,177,86,5,2738,98,76,416,82,2,33,45
27,1,74,173,78,12,2030,89,56,292,63,0,34,43
65,1,56,178,66,15,3246,101,90,508,101,6,26,21
65,1,87,186,64,17,2398,113,67,336,69,1,47,36
27,0,55,164,65,19,-290,82,-8,-136,-33,3,24,33
20,1,59,182,80,11,3265,94,91,518,100,4,20,22
40,1,75,174,67,20,2628,105,73,388,74,2,32,31
21,0,42,148,64,22,-225,55,-6,-98,-15,1,14,16
56,0,57,161,54,21,-258,80,-7,-129,-32,2,30,33
24,1,77,174,74,16,3485,123,97,530,119,4,28,34
30,1,50,175,81,8,2028,65,56,316,67,1,27,18
64,1,48,163,61,21,2131,72,59,328,61,3,16,24
49,0,65,168,54,24,-225,84,-6,-127,-14,1,34,35
34,0,71,159,61,21,-258,99,-7,-148,-23,2,29,44
19,1,68,180,68,23,2401,88,67,362,81,1,27,35
24,0,66,177,67,18,-322,106,-9,-166,-37,4,29,34
21,0,62,164,69,17,-225,81,-6,-124,-21,1,10,28
57,1,58,172,67,16,1650,70,46,239,55,0,37,27
24,1,57,180,68,22,3160,91,88,501,97,4,19,25
33,0,68,158,48,35,-322,109,-9,-169,-41,4,38,47
26,0,53,179,55,30,-419,101,-12,-179,-36,7,18,23
62,0,61,167,48,26,-225,79,-6,-122,-28,1,29,40
73,1,62,179,61,19,1930,81,54,280,52,1,29,41
25,0,50,173,77,8,-225,65,-6,-108,-22,1,17,34
20,1,73,185,81,10,2508,95,70,374,74,1,27,31
25,0,60,160,64,21,-258,84,-7,-133,-19,2,31,22
80,0,54,165,33,40,-225,70,-6,-113,-17,1,27,33
28,1,59,186,79,10,3882,106,108,622,118,6,19,24
23,0,53,157,73,13,-322,85,-9,-145,-26,4,30,33
53,0,70,170,57,19,-225,91,-6,-134,-21,1,29,46
24,1,57,164,69,21,2368,80,66,364,66,2,36,27
22,1,69,170,86,5,3625,117,101,562,113,5,24,34
31,0,64,166,52,31,-258,90,-7,-139,-22,2,29,26
67,0,61,160,40,35,-225,79,-6,-122,-19,1,19,45
61,1,70,171,70,12,3819,133,106,583,116,7,30,29
65,0,57,155,43,31,-322,91,-9,-151,-29,4,14,35
23,1,69,176,70,20,2016,83,56,295,53,0,32,30
25,0,54,170,66,19,-290,81,-8,-136,-32,3,18,25
32,1,67,179,79,9,1960,80,54,288,61,0,27,40
59,1,60,169,66,16,1913,78,53,281,67,1,27,23
24,0,53,155,67,18,-193,64,-5,-101,-24,0,26,25
30,1,57,168,84,5,2065,74,57,314,69,1,23,19
29,1,55,175,81,8,2707,82,75,426,86,3,23,18
62,0,47,150,46,28,-193,56,-5,-93,-17,0,19,25
31,0,48,167,69,14,-225,62,-6,-105,-25,1,24,41
28,0,68,169,63,21,-322,109,-9,-169,-35,4,28,34
60,1,57,174,61,22,2725,91,76,419,80,4,30,36
26,0,38,151,64,21,-193,46,-5,-83,-18,0,20,12
27,1,67,168,77,13,2544,94,71,382,66,2,27,31
25,1,73,179,67,23,2766,102,77,416,80,2,29,28
59,1,77,186,74,8,2628,108,73,385,80,2,34,36
23,1,70,177,81,9,3053,105,85,467,94,3,29,37
21,0,65,159,64,22,-290,98,-8,-152,-30,3,24,33
23,0,48,157,60,26,-386,86,-11,-158,-29,6,21,21
24,0,52,158,63,22,-225,68,-6,-111,-19,1,24,33
25,1,78,170,74,16,2412,101,67,351,76,1,36,44
42,0,50,157,43,38,-193,60,-5,-97,-14,0,10,38
28,1,77,176,75,14,2429,100,67,356,77,1,27,40
45,0,52,160,53,26,-193,62,-5,-99,-21,0,12,37
28,1,55,171,77,12,1780,66,49,269,49,0,31,30
24,1,78,169,75,15,2754,109,76,408,81,2,37,28
52,1,71,178,65,19,2194,92,61,319,66,1,33,35
58,0,67,155,37,41,-322,107,-9,-167,-28,4,15,35
19,0,70,170,67,20,-354,119,-10,-185,-33,5,33,32
54,0,54,158,54,22,-258,76,-7,-125,-22,2,17,35
27,0,52,174,61,23,-354,88,-10,-154,-35,5,22,29
29,1,56,164,84,5,2601,84,72,404,89,3,19,30
68,1,59,166,62,19,2326,88,65,347,64,3,27,18
24,0,52,156,61,24,-290,78,-8,-132,-40,3,27,35
52,1,57,163,67,17,2134,80,59,321,68,2,21,25
30,0,50,155,61,22,-258,70,-7,-119,-24,2,22,39
55,1,62,176,65,19,2030,81,56,300,68,1,24,32
29,1,83,169,84,5,3492,133,97,522,109,4,40,29
60,1,59,170,73,8,2715,94,75,416,87,4,25,25
58,1,78,185,72,10,2972,117,83,439,95,3,46,38
30,0,75,172,64,19,-322,120,-9,-180,-37,4,30,48
31,1,92,177,81,8,2627,120,73,372,79,1,45,48
