,Category,Description,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Protein,Sugar Total,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid
1435,CAMPBELL'S SEL MICROWAVEABLE BOWLS,"CAMPBELL'S SEL MICROWAVEABLE BOWLS,MINESTRONE SOUP",7.76,2,0,1.600000024,39,1.63,2.039999962,88.7,0.0,0.0,0.0,0.2
1436,CAMPBELL'S SEL MCRWVABLE BOWLS,"CAMPBELL'S SEL MCRWVABLE BOWLS,SVRY CHK & LONG GRN RICE SOUP",6.12,4,0,0.400000006,38,2.86,1.220000029,89.4,0.0,0.0,0.0,0.2
1437,SOUP,"SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",3.67,4,5,0.100000001,23,0.84,0.310000002,94.16,0.205,0.155,0.122,0.55
1438,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,98% FAT FREE NEW ENGLAND CLAM CHOWDER",7.35,4,0,0.800000012,43,2.04,0.819999993,88.7,0.0,0.0,0.0,0.61
1439,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,BF W/ RSTD BARLEY SOUP",8.98,4,0,0.800000012,54,3.67,1.629999995,85.6,0.0,0.0,0.204,0.41
1440,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,CHICK & PASTA W/ RSTD GARLIC SOUP",7.35,6,0,0.800000012,46,3.27,0.819999993,88.1,0.0,0.0,0.204,0.41
1441,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,CHICK VEG MEDLEY SOUP",7.76,4,0,0.800000012,44,2.86,1.629999995,88.0,0.0,0.0,0.204,0.2
1442,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,CREAMY CHICK ALFREDO SOUP",7.35,4,0,0.800000012,71,4.08,0.409999996,83.0,0.0,0.0,0.408,2.86
1443,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,HEALTHY REQUEST MEX STYLE CHICK TORTILLA",8.16,4,0,1.200000048,55,3.27,0.819999993,87.0,0.0,0.0,0.408,1.02
1444,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,ITALIAN SAUSAGE W/ PASTA PEPPERONI SOUP",7.35,6,0,1.200000048,63,2.86,2.039999962,86.2,0.0,0.0,1.02,2.45
1445,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,ITALIAN-STYLE WEDDING SOUP",6.12,6,0,0.800000012,47,2.86,1.220000029,89.2,0.0,0.0,0.612,1.22
1446,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,MEDITERRANEAN MEATBALL BOWTIE PASTA SOUP",5.71,6,0,1.200000048,47,2.86,1.629999995,88.8,0.0,0.0,0.612,1.43
1447,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,MEXICAN STYLE CHICK TORTILLA SOUP",8.16,4,0,1.200000048,53,3.27,0.409999996,86.4,0.0,0.0,0.408,0.82
1448,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,MINESTRONE SOUP",8.16,0,0,1.200000048,43,2.04,2.039999962,88.3,0.0,0.0,0.0,0.2
1449,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,NEW ENGLAND CLAM CHOWDER",6.12,4,0,0.800000012,64,2.45,0.409999996,87.1,0.0,0.0,0.816,3.27
1450,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,POTATO BROCCOLI CHS SOUP",7.35,2,0,1.600000024,49,1.22,0.819999993,89.2,0.0,0.0,0.408,1.63
1451,SOUP,"SOUP,BF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",2.6,3,0,0.100000001,30,2.37,0.0,92.6,0.51,0.05,0.61,1.23
1452,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,RSTD CHICK W/ LONG GRAIN WILD RICE SOUP",7.35,6,0,0.800000012,43,2.86,0.819999993,88.7,0.0,0.0,0.204,0.2
1453,SOUP,"SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O",3.8,4,0,0.100000001,54,1.8,0.0,90.0,1.65,0.95,0.98,3.75
1454,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,RSTD CHICK W/ ROTINI & PENNE PASTA SOUP",6.53,4,0,0.800000012,41,3.27,0.819999993,88.7,0.0,0.0,0.204,0.2
1455,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,SAVORY WHITE BEAN W/ RSTD HAM SOUP",12.24,2,0,2.900000095,67,3.67,1.629999995,83.1,0.0,0.0,0.204,0.41
1456,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,SLOW RSTD BF & VEG SOUP",6.53,4,0,0.800000012,41,2.45,1.629999995,89.0,0.0,0.0,0.204,0.61
1457,CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,SPLIT PEA W/ RSTD HAM SOUP",11.84,2,0,2.0,67,4.08,2.039999962,82.8,0.0,0.0,0.0,0.41
1458,SOUP,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME H2O",9.6,2,0,0.200000003,50,0.92,0.0,87.17,0.28,0.45,0.22,1.02
1459,SOUP,"SOUP,TOMATO,CND,PREP W/EQ VOLUME H2O,COMM",6.57,0,6,0.600000024,30,0.79,3.970000029,91.38,0.088,0.093,0.076,0.28
1460,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,TOMATO GARDEN SOUP",8.57,2,0,0.800000012,41,1.22,4.900000095,88.6,0.0,0.0,0.204,0.2
1461,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,VEG MEDLEY SOUP",8.57,0,0,1.200000048,41,1.22,2.450000048,88.9,0.0,0.0,0.0,0.2
1462,SOUP,"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY",65.5,0,86,2.400000095,453,9.3,0.730000019,4.7,6.4,2.605,7.63,17.1
1463,SOUP,"SOUP,BROCCOLI CHS,CND,COND,COMM",7.7,4,18,1.799999952,87,2.1,2.119999886,82.7,2.0,1.7,1.6,5.3
1464,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,BLENDED VEG MEDLEY SOUP",6.23,2,0,1.299999952,33,0.98,2.950000048,91.1,0.0,0.0,0.164,0.49
1465,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CHICK & STARS SOUP",3.28,2,0,0.699999988,21,0.98,0.330000013,94.0,0.0,0.0,0.164,0.49
1466,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CHICK W/ MINI NOODLES SOUP",3.61,3,0,0.699999988,26,1.31,0.660000026,93.5,0.0,0.0,0.164,0.66
1467,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CRM OF BROCCOLI SOUP",5.57,2,0,2.299999952,47,0.98,0.980000019,90.2,0.0,0.0,0.656,2.3
1468,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CREAMY CHICK SOUP",4.26,2,0,1.299999952,43,1.31,0.330000013,90.5,0.0,0.0,0.492,2.95
1469,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CREAMY TOMATO SOUP",11.15,2,0,1.299999952,62,1.31,7.539999962,84.8,0.0,0.0,0.328,1.31
1470,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,ITALIAN STYLE WEDDING SOUP",3.28,3,0,0.300000012,24,0.98,0.980000019,93.4,0.0,0.0,0.328,0.82
1471,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,NEW ENGLAND CLAM CHOWDER",4.26,2,0,1.299999952,40,1.31,0.0,91.6,0.0,0.0,0.328,1.97
1472,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SOUP AT HAND,VEG BF SOUP",3.28,2,0,0.300000012,20,0.98,1.639999986,94.0,0.0,0.0,0.164,0.33
1473,CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,VELVETY POTATO SOUP",6.89,2,0,1.299999952,51,0.66,1.639999986,89.3,0.0,0.0,0.328,2.3
1474,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",6.25,0,0,3.099999905,25,0.0,6.25,88.6,0.0,0.0,0.0,0.0
1475,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",6.25,0,0,3.099999905,25,0.0,6.25,88.6,0.0,0.0,0.0,0.0
1476,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",8.33,0,0,1.700000048,40,1.67,6.670000076,87.1,0.0,0.0,0.0,0.0
1477,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",6.25,0,0,0.0,25,0.0,6.25,90.7,0.0,0.0,0.0,0.0
1478,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",9.38,0,0,3.099999905,38,0.0,6.25,86.6,0.0,0.0,0.0,0.0
1479,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",6.25,0,0,3.099999905,25,0.0,6.25,89.3,0.0,0.0,0.0,0.0
1480,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",6.25,0,0,3.099999905,25,0.0,6.25,89.9,0.0,0.0,0.0,0.0
1481,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",12.5,0,0,0.0,50,0.0,6.25,85.3,0.0,0.0,0.0,0.0
1482,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",6.25,0,0,3.099999905,25,0.0,6.25,88.7,0.0,0.0,0.0,0.0
1483,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",1.28,0,0,0.0,5,0.0,0.850000024,98.2,0.0,0.0,0.0,0.0
1484,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",1.28,0,0,0.0,5,0.0,0.850000024,97.6,0.0,0.0,0.0,0.0
1485,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HLTHY RQUST STYLE WEDDING SP",6.12,6,0,0.800000012,45,2.86,1.220000029,89.4,0.0,0.0,0.612,1.02
1486,SAUCE,"SAUCE,CHS SAU MIX,DRY",60.52,23,0,1.0,438,7.68,10.26000023,3.78,6.868,0.983,8.44,18.33
1487,SOUP,"SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",7.5,11,0,0.899999976,99,3.1,0.0,82.1,1.27,1.9,1.75,6.3
1488,SOUP,"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",7.1,6,0,1.399999976,80,3.0,0.0,84.2,0.837,1.74,1.15,4.4
1489,SOUP,"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",5.6,9,0,0.600000024,80,2.7,0.0,85.3,2.46,0.32,1.62,5.2
1490,SOUP,"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",6.8,11,0,2.299999952,77,4.2,0.0,84.1,1.32,0.523,1.33,3.7
1491,SOUP,"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",11.3,6,0,0.0,76,5.2,0.0,81.0,0.404,0.198,0.3,1.1
1492,SOUP,"SOUP,BEAN W/BACON,COND,SINGLE BRAND",18.0,3,0,4.599999905,117,6.5,0.0,70.9,0.747,0.446,0.601,2.1
1493,SOUP,"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",8.2,6,0,0.0,61,3.9,0.0,84.6,0.567,0.098,0.48,1.4
1494,SOUP,"SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",7.1,4,0,0.0,50,2.3,0.0,86.8,0.546,0.303,0.342,1.4
1495,SOUP,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",7.7,7,0,0.0,99,2.4,0.0,81.4,1.64,2.05,1.61,6.5
1496,SOUP,"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",21.2,3,0,3.0,140,8.6,0.0,65.4,0.892,0.439,0.676,2.3
1497,SOUP,"SOUP,VEG BF,CND,COND,SINGLE BRAND",7.7,5,0,0.0,53,3.8,0.0,86.0,0.176,0.237,0.231,0.8
1498,SOUP,"SOUP,CHICK VEG,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",6.3,4,0,0.0,40,2.7,0.0,89.5,0.168,0.107,0.121,0.5
1499,SOUP,"SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",3.3,3,0,1.5,44,6.2,0.0,88.6,0.223,0.112,0.221,0.7
1500,SOUP,"SOUP,CHUNKY BF W/ COUNTRY VEG,RTS",8.57,10,0,0.0,62,4.08,0.0,85.3,0.443,0.511,0.612,1.22
1501,SAUCE,"SAUCE,CHS,RTS",6.83,29,0,0.5,174,6.71,0.419999987,70.5,3.823,2.599,6.01,13.29
1502,SAUCE,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",13.76,2,14,2.599999905,87,1.78,8.840000153,80.01,0.589,1.184,0.699,2.69
1503,CAMPBELL SOUP COMP,"CAMPBELL SOUP COMP,PREGO PASTA,TRADITIONAL ITALIAN SAU,RTS",10.0,0,0,2.299999952,62,1.54,8.460000038,78.95,0.0,0.0,0.769,2.31
1504,SOUP,"SOUP,CRM OF CHICK,CND,COND,RED NA",9.5,6,8,0.400000006,58,1.8,0.389999986,85.8,0.4,0.4,0.5,1.3
1505,SOUP,"SOUP,TOMATO,CND,COND,RED NA",13.41,0,13,1.200000048,65,1.61,8.109999657,82.5,0.179,0.189,0.155,0.56
1506,GRAVY,"GRAVY,BROWN INST,DRY",59.78,12,47,3.200000048,380,8.53,9.229999542,5.51,5.488,0.499,5.866,11.85
1507,GRAVY,"GRAVY,INST BF,DRY",61.1,11,48,4.300000191,369,9.8,23.89999962,4.65,3.659,0.938,4.88,9.48
1508,GRAVY,"GRAVY,INST TURKEY,DRY",57.56,24,24,3.799999952,409,11.72,7.599999905,5.24,5.25,4.478,4.931,14.66
1509,SAUCE,"SAUCE,ALFREDO MIX,DRY",36.52,56,0,2.0,535,15.32,5.400000095,2.05,13.669,8.61,13.18,36.35
1510,SAUCE,"SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",3.9,0,6,0.699999988,21,0.9,2.549999952,94.1,0.411,0.074,0.08,0.6
1511,SAUCE,"SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",5.0,0,5,1.899999976,20,0.7,2.549999952,93.9,0.068,0.012,0.013,0.1
1512,No Category,FISH BROTH,0.4,0,9,0.0,16,2.0,0.090000004,96.0,0.121,0.162,0.142,0.6
1513,SOUP,"SOUP,TOMATO,LO NA,W/H2O",6.57,0,6,0.600000024,30,0.79,3.970000029,91.38,0.088,0.093,0.076,0.28
1514,SOUP,"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",9.88,0,13,1.899999976,62,3.2,3.190000057,84.55,0.372,0.142,0.524,1.09
1515,SOUP,"SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",2.95,5,6,0.200000003,25,1.27,0.270000011,93.82,0.418,0.264,0.262,0.95
1516,SOUP,"SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",6.06,0,4,1.100000024,33,1.1,2.150000095,91.35,0.102,0.202,0.074,0.45
1517,SOUP,"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",4.53,1,6,0.200000003,53,1.0,1.720000029,90.3,0.704,1.739,1.005,3.7
1518,POTATO SOUP,"POTATO SOUP,INST,DRY MIX",76.14,12,56,7.599999905,343,9.2,10.0,5.8,1.185,1.025,0.613,3.1
1519,SOUP,"SOUP,CHICK BROTH,LO NA,CND",1.2,0,3,0.0,16,2.0,0.129999995,96.0,0.274,0.126,0.179,0.6
1520,SAUCE,"SAUCE,WORCESTERSHIRE",19.46,0,3,0.0,78,0.0,10.02999973,78.54,0.0,0.0,0.0,0.0
1521,SAUCE,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",19.79,0,14,5.900000095,104,2.5,10.53999996,68.0,0.038,0.154,0.045,0.3
1522,SAUCE,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",28.73,0,14,0.5,104,2.5,8.960000038,68.0,0.042,0.137,0.044,0.3
1523,SOUP,"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",8.76,7,4,0.400000006,69,5.1,1.419999957,83.4,0.895,0.418,0.597,2.0
1524,SAUCE,"SAUCE,BARBECUE,LO NA",36.25,0,3,0.600000024,150,0.0,26.05999947,60.34,0.074,0.17,0.0,0.29
1525,SAUCE,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",13.76,2,14,2.599999905,87,1.78,8.840000153,80.01,0.589,1.184,0.699,2.69
1526,GRAVY,"GRAVY,MEAT OR POULTRY,LO NA,PREP",6.16,3,6,0.300000012,53,3.8,0.01,87.5,1.068,0.095,1.003,2.4
1527,SOUP,"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",9.58,6,10,0.200000003,69,4.3,0.839999974,83.3,0.394,0.068,1.621,2.3
1528,No Category,ADOBO FRESCO,18.6,0,2,1.299999952,271,2.0,2.029999971,22.1,14.963,2.044,2.91,20.9
1529,SOUP,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",9.0,21,18,0.600000024,98,5.1,1.679999948,79.9,1.556,0.246,2.324,4.6
1530,SOUP,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",64.88,13,114,0.200000003,438,16.7,14.47000027,2.3,5.365,4.485,3.433,13.89
1531,SOUP,"SOUP,RAMEN NOODLE,BF FLAVOR,DRY",63.27,0,0,2.200000048,436,10.29,1.779999971,5.52,6.784,1.528,7.965,15.71
1532,SOUP,"SOUP,RAMEN NOODLE,CHICK FLAVOR,DRY",63.57,0,0,2.400000095,437,10.66,1.350000024,4.26,6.148,1.387,7.095,15.55
1533,Soup,"Soup, Swanson chickne broth",0.14,0,0,0.0,4,0.54,0.150000006,98.1,0.0,0.0,0.0,0.17
1534,GRY,"GRY, HNZ Home style beef gravy",6.24,2,0,0.699999988,39,1.09,0.519999981,89.97,0.432,0.046,0.4,1.13
1535,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK NOODLE SOUP,COND",6.35,8,0,0.800000012,48,2.38,0.790000021,88.2,0.397,0.397,0.397,1.59
1536,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CELERY,COND",9.68,4,0,0.800000012,54,0.81,1.610000014,86.5,0.403,0.806,0.0,1.61
1537,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF MUSHROOM ,COND",8.06,4,0,0.800000012,56,1.61,1.610000014,87.1,0.403,0.806,0.403,1.61
1538,CAMPBELL SOUP,"CAMPBELL SOUP,HEALTHY REQUEST,HOMESTYL CHICK NOODLE,COND",6.35,8,0,0.800000012,48,2.38,0.790000021,88.6,0.794,0.397,0.397,1.59
1539,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,MINESTRONE SOUP,COND",12.5,0,0,2.5,67,2.5,3.329999924,83.2,0.0,0.0,0.0,0.42
1540,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,TOMATO SOUP,COND",13.71,0,0,0.800000012,73,1.61,8.06000042,81.8,0.0,0.0,0.403,1.21
1541,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,VEG SOUP,COND",15.08,0,0,2.400000095,79,3.17,3.970000029,79.1,0.0,0.0,0.0,0.79
1542,CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,CHUNKY GARDEN COMB ITALIAN SAU,RTS",13.08,0,0,2.299999952,69,1.54,7.690000057,82.9,0.0,0.0,0.385,1.15
1543,CAMPBELL,"CAMPBELL,PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS",10.4,0,0,2.400000095,72,1.6,8.0,80.9,0.0,0.0,0.4,2.4
1544,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S AU JUS GRAVY",0.0,0,0,0.0,8,1.69,0.0,97.8,0.0,0.0,0.0,0.0
1545,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S BF GRAVY",5.08,8,0,0.0,42,1.69,1.690000057,90.2,0.0,0.0,0.847,1.69
1546,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S BROWN GRAVY W/ ONIONS",6.78,0,0,0.0,42,0.0,3.390000105,88.2,0.0,0.0,0.0,1.69
1547,CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S CHICK GRAVY",5.08,8,0,0.0,68,0.0,1.690000057,88.3,0.0,0.0,1.695,5.08
1548,BARBECUE LOAF,"BARBECUE LOAF,PORK,BEEF",6.4,37,0,0.0,173,15.84,0.0,64.82,4.14,0.81,3.17,8.9
1549,BEERWURST,"BEERWURST,BEER SALAMI,PORK & BF",3.76,62,67,0.899999976,277,14.0,0.0,56.71,10.105,2.08,8.438,22.53
1550,BEERWURST,"BEERWURST,BEER SALAMI,PORK",2.06,59,0,0.0,238,14.24,0.0,61.46,8.98,2.36,6.28,18.8
1551,No Category,SAUSAGE  BERLINER  PORK  BF,2.59,46,0,0.0,230,15.27,2.349999905,60.97,8.0,1.58,6.08,17.2
1552,No Category,BLOOD SAUSAGE,1.29,120,73,0.0,379,14.6,1.289999962,47.3,15.9,3.46,13.4,34.5
1553,No Category,BOCKWURST  PORK  VEAL  RAW,2.95,93,46,1.0,301,14.03,1.330000043,54.47,13.138,2.328,10.256,25.87
1554,BOLOGNA,"BOLOGNA,BF",3.98,56,46,0.0,311,10.27,0.0,54.26,12.218,0.776,11.134,28.19
1555,BOLOGNA,"BOLOGNA,BF & PORK",5.49,60,66,0.0,308,15.2,4.420000076,51.87,10.526,1.12,9.301,24.59
1556,BOLOGNA,"BOLOGNA,PORK",0.73,59,54,0.0,247,15.3,0.0,60.6,9.78,2.12,6.88,19.87
1557,No Category,BOLOGNA  TURKEY,4.68,75,54,0.5,209,11.42,2.900000095,64.55,6.836,3.854,4.355,16.05
1558,BRATWURST,"BRATWURST,PORK,CKD",2.85,74,94,0.0,333,13.72,0.0,51.45,14.692,2.632,9.998,29.18
1559,BRAUNSCHWEIGER (A LIVER SAUSAGE),"BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",3.1,180,256,0.0,327,14.5,0.0,50.6,12.731,3.193,9.307,28.5
1560,BROTWURST,"BROTWURST,PORK,BF,LINK",2.93,63,0,0.0,323,14.3,2.980000019,51.3,13.34,2.83,9.93,27.8
1561,CHEESEFURTER,"CHEESEFURTER,CHS SMOKIE,PORK,BF",1.51,68,63,0.0,328,14.1,1.50999999,52.5,13.64,3.02,10.47,29.0
1562,No Category,CHICKEN ROLL  LT MEAT,4.66,45,50,0.0,110,16.64,0.569999993,72.41,0.89,0.374,0.621,2.73
1563,No Category,CHICKEN SPRD,4.05,56,0,0.300000012,158,18.01,0.469999999,57.41,4.8,2.35,3.23,17.56
1564,CHORIZO,"CHORIZO,PORK AND BEEF",1.86,88,97,0.0,455,24.1,0.0,31.85,18.4,3.46,14.38,38.27
1565,CORNED BEEF LOAF,"CORNED BEEF LOAF,JELLIED",0.0,47,0,0.0,153,22.9,0.0,69.1,2.68,0.32,2.6,6.1
1566,DUTCH BRAND LOAF,"DUTCH BRAND LOAF,CHICK,PORK & BF",3.93,60,65,0.300000012,273,12.0,0.899999976,58.1,11.433,3.053,9.043,22.91
1567,No Category,FRANKFURTER  BF,4.06,53,34,0.0,330,11.24,3.390000105,52.01,14.305,1.182,11.688,29.57
1568,No Category,FRANKFURTER  BF & PORK,1.72,50,43,0.0,305,11.53,0.0,55.96,13.67,2.73,10.77,27.64
1569,FRANKFURTER,"FRANKFURTER,CHICK",2.74,96,50,0.400000006,223,15.51,0.529999971,62.5,5.932,3.873,3.856,16.19
1570,FRANKFURTER,"FRANKFURTER,TURKEY",3.81,77,48,0.0,223,12.23,1.210000038,62.99,5.736,3.949,4.028,17.29
1571,HAM,"HAM,CHOPPED,CANNED",0.28,49,64,0.0,239,16.06,0.0,60.77,9.17,2.05,6.28,18.83
1572,HAM,"HAM,CHOPPED,NOT CANNED",4.2,59,77,0.0,180,16.5,0.0,65.3,4.897,1.26,3.422,10.3
1573,HAM,"HAM,SLICED,EX LN",0.75,45,62,0.0,107,18.85,0.0,73.9,0.992,0.214,0.66,2.59
1574,HAM,"HAM,SLICED,REG (APPROX 11% FAT)",3.83,57,82,1.299999952,163,16.6,0.0,67.27,4.354,0.789,2.936,8.6
1575,HAM,"HAM,MINCED",1.85,70,69,0.0,263,16.28,0.0,57.35,9.57,2.47,7.18,20.68
1576,No Category,HAM SALAD SPREAD,10.65,37,69,0.0,216,8.68,0.0,62.6,7.2,2.7,5.06,15.53
1577,No Category,HAM&CHS LOAF OR ROLL,4.0,58,66,0.0,241,13.6,0.0,60.3,8.59,2.022,6.966,18.7
1578,No Category,HAM AND CHEESE SPREAD,2.28,61,0,0.0,245,16.18,0.0,59.13,7.08,1.38,8.62,18.53
1579,HEADCHEESE,"HEADCHEESE,PORK",0.0,69,104,0.0,157,13.83,0.0,73.84,5.601,1.134,3.402,10.9
1580,No Category,HONEY LOAF  PORK  BF,9.98,34,42,0.800000012,125,11.12,0.170000002,70.47,2.024,0.472,1.449,4.47
1581,SAUSAGE,"SAUSAGE,ITALIAN,PORK,RAW",0.65,76,0,0.0,346,14.25,0.0,51.08,14.34,4.03,11.27,31.33
1582,KIELBASA,"KIELBASA,KOLBASSY,PORK,BF,NONFAT DRY MILK",2.81,66,59,0.0,309,12.23,1.600000024,54.58,11.8,3.884,9.233,27.29
1583,No Category,KNACKWURST  KNOCKWURST  PORK  BF,3.2,60,55,0.0,307,11.1,0.0,55.3,12.81,2.92,10.21,27.7
1584,No Category,LEBANON BOLOGNA  BF,0.44,55,63,0.0,172,19.03,0.0,65.77,4.436,0.258,2.794,10.44
1585,LIVER CHEESE,"LIVER CHEESE,PORK",2.1,174,0,0.0,304,15.2,0.0,53.6,12.26,3.42,8.96,25.6
1586,LIVER SAUSAGE,"LIVER SAUSAGE,LIVERWURST,PORK",2.2,158,0,0.0,326,14.1,0.0,52.1,13.34,2.6,10.6,28.5
1587,LUNCHEON MEAT,"LUNCHEON MEAT,BEEF,LOAVED",2.9,64,47,0.0,308,14.4,0.0,52.5,12.23,0.87,11.18,26.2
1588,LUNCHEON MEAT,"LUNCHEON MEAT,BF,THIN SLICED",2.59,48,53,0.0,117,17.94,0.0,72.53,1.289,0.089,1.101,3.4
1589,USDA CMDTY,"USDA CMDTY,LUNCHEON MEAT,CND",1.04,78,64,0.0,189,17.5,0.0,65.87,5.685,1.565,3.944,12.77
1590,LUNCHEON MEAT,"LUNCHEON MEAT,PORK,CANNED",2.1,62,62,0.0,334,12.5,0.0,51.5,14.29,3.56,10.79,30.3
